nodes,iteration,t_init_ms,t_split_ms,t_calc_ms,t_merge_ms,t_total_ms
nodes,iteration,t_init_ms,t_split_ms,t_calc_ms,t_merge_ms,t_total_ms
10,1,26,19893,4013,0,23977
10,2,24,17931,3512,0,21509
10,3,25,18032,3511,0,21605
12,1,25,19516,3512,0,23093
12,2,23,18249,3011,0,21322
12,3,24,18044,3011,0,21117
15,1,27,19453,3515,0,23036
15,2,24,24827,3013,0,27903
15,3,25,18450,3014,0,21532
18,1,27,19582,3520,0,23168
18,2,26,18197,3016,0,21278
18,3,24,18455,3021,0,21541
2,1,24,19725,18015,0,37800
2,2,23,18328,17516,0,35902
2,3,23,18205,17515,0,35778
6,1,25,19738,5010,0,24810
6,2,23,18644,4510,0,23213
6,3,24,18255,4509,0,22824
8,1,26,20045,4512,0,24621
8,2,24,18354,4011,0,22425
8,3,24,18373,4011,0,22444
3,1,22,18010,9511,0,27577
3,2,24,17988,9511,0,27558
3,3,23,18434,9511,0,28003
